Long(eyebrows),Short(eyebrows),Thick(eyebrows),Thin(eyebrows),Broad(forehead),Tiny(forehead),Long(faceshape),wide(faceshape),Fleshy(cheek),Normal(cheek),Long(nose),Short(nose),Sharp(nose),Blunt(nose),PERSONALITY
1,0,1,0,1,0,0,1,0,1,1,0,0,1,1
1,0,1,0,0,1,1,0,0,1,1,0,1,0,2
0,1,0,1,1,0,0,1,1,0,1,0,0,1,2
0,1,0,1,1,0,0,1,0,1,0,1,0,1,0
1,0,1,0,0,1,0,1,0,1,1,0,0,1,0
1,0,0,1,1,0,0,1,1,0,1,0,1,0,2
0,1,1,0,1,0,0,1,1,0,0,1,0,1,4
1,0,1,0,0,1,0,1,1,0,0,1,0,1,0
1,0,1,0,0,1,1,0,1,0,0,1,0,1,2
0,1,0,1,1,0,1,0,0,1,1,0,0,1,0
1,0,0,1,1,0,1,0,1,0,0,1,0,1,0
1,0,1,0,1,0,0,1,1,0,0,1,0,1,0
1,0,1,0,0,1,1,0,0,1,1,0,0,1,2
0,1,1,0,1,0,1,0,0,1,1,0,1,0,3
1,0,1,0,0,1,1,0,0,1,1,0,1,0,0
1,0,0,1,1,0,0,1,0,1,1,0,1,0,2
0,1,1,0,1,0,0,1,1,0,0,1,0,1,4
1,0,0,1,0,1,1,0,0,1,1,0,0,1,2
0,1,1,0,0,1,0,1,1,0,1,0,0,1,3
1,0,0,1,0,1,1,0,1,0,0,1,0,1,2
0,1,0,1,0,1,1,0,0,1,1,0,1,0,2
1,0,1,0,0,1,1,0,1,0,1,0,0,1,1
0,1,1,0,1,0,0,1,1,0,0,1,0,1,1
1,0,1,0,1,0,1,0,0,1,1,0,1,0,0
1,0,0,1,1,0,1,0,0,1,0,1,0,1,1
0,1,1,0,1,0,0,1,1,0,1,0,0,1,2
1,0,1,0,0,1,1,0,1,0,1,0,0,1,0
0,1,0,1,1,0,0,1,0,1,1,0,1,0,2
0,1,1,0,1,0,1,0,1,0,1,0,0,1,2
0,1,0,1,0,1,1,0,0,1,1,0,0,1,1
1,0,1,0,1,0,0,1,1,0,1,0,0,1,2
0,1,1,0,1,0,0,1,1,0,0,1,0,1,1
0,1,0,1,1,0,0,1,1,0,1,0,0,1,0
1,0,1,0,1,0,0,1,0,1,0,1,0,1,0
1,0,1,0,0,1,1,0,0,1,1,0,0,1,1
1,0,1,0,1,0,0,1,0,1,1,0,0,1,0
0,1,1,0,0,1,0,1,0,1,0,1,0,1,0
1,0,0,1,0,1,1,0,0,1,1,0,1,0,2
1,0,0,1,1,0,0,1,1,0,1,0,0,1,0
0,1,0,1,0,1,1,0,0,1,1,0,1,0,1
0,1,0,1,0,1,0,1,0,1,0,1,0,1,4
0,1,0,1,1,0,0,1,1,0,1,0,0,1,0
1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,1,0,1,0,1,0,1,0,1,0,1,0,0
1,0,1,0,1,0,0,1,1,0,0,1,0,1,2
0,1,0,1,0,1,1,0,0,1,1,0,1,0,0
1,0,0,1,1,0,1,0,0,1,1,0,0,1,1
0,1,0,1,0,1,0,1,1,0,0,1,1,0,0
0,1,1,0,0,1,0,1,1,0,0,1,0,1,0
1,0,1,0,1,0,0,1,1,0,1,0,1,0,2
0,1,0,1,1,0,0,1,1,0,0,1,0,1,0
1,0,0,1,1,0,0,1,1,0,0,1,0,1,2
1,0,1,0,1,0,0,1,1,0,1,0,0,1,0
1,0,1,0,0,1,1,0,0,1,1,0,1,0,0
1,0,1,0,1,0,0,1,0,1,1,0,0,1,2
0,1,0,1,0,1,0,1,1,0,0,1,0,1,0
1,0,0,1,0,1,0,1,0,1,1,0,0,1,2
0,1,1,0,1,0,1,0,1,0,1,0,0,1,4
0,1,0,1,1,0,0,1,0,1,0,1,0,1,3
0,1,1,0,1,0,0,1,1,0,0,1,0,1,1
0,1,1,0,1,0,1,0,0,1,1,0,0,1,1
1,0,1,0,0,1,1,0,0,1,1,0,1,0,0
1,0,1,0,1,0,1,0,0,1,1,0,1,0,0
1,0,1,0,0,1,0,1,0,1,1,0,0,1,1
0,1,0,1,0,1,0,1,1,0,0,1,1,0,2
1,0,0,1,0,1,1,0,0,1,0,1,1,0,0
1,0,1,0,1,0,0,1,0,1,0,1,0,1,3
1,0,1,0,1,0,1,0,0,1,1,0,1,0,4
1,0,0,1,1,0,0,1,1,0,0,1,0,1,0
1,0,1,0,1,0,0,1,1,0,0,1,1,0,2
1,0,1,0,1,0,1,0,0,1,1,0,1,0,2
1,0,1,0,1,0,0,1,1,0,0,1,1,0,2
1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
1,0,1,0,1,0,0,1,0,1,0,1,1,0,2
0,1,1,0,1,0,1,0,0,1,1,0,1,0,0
1,0,1,0,1,0,1,0,0,1,0,1,1,0,4
0,1,1,0,1,0,0,1,1,0,0,1,0,1,2
0,1,1,0,1,0,1,0,1,0,1,0,1,0,0
1,0,1,0,1,0,1,0,0,1,1,0,1,0,2
0,1,0,1,1,0,1,0,0,1,1,0,0,1,1
1,0,1,0,1,0,0,1,1,0,0,1,0,1,0
0,1,0,1,1,0,0,1,1,0,0,1,1,0,2
1,0,1,0,1,0,1,0,0,1,1,0,1,0,4
0,1,1,0,0,1,0,1,1,0,1,0,0,1,1
0,1,0,1,1,0,1,0,0,1,1,0,1,0,2
0,1,1,0,1,0,1,0,1,0,1,0,1,0,2
1,0,1,0,0,1,1,0,0,1,1,0,0,1,1
1,0,1,0,1,0,1,0,1,0,1,0,0,1,1
0,1,0,1,0,1,0,1,1,0,0,1,1,0,3
1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
0,1,1,0,0,1,0,1,1,0,0,1,0,1,0
0,1,0,1,1,0,0,1,0,1,0,1,0,1,1
1,0,1,0,1,0,1,0,0,1,1,0,1,0,0
1,0,1,0,1,0,1,0,0,1,1,0,1,0,3
0,1,0,1,1,0,0,1,1,0,1,0,0,1,1
0,1,0,1,1,0,1,0,1,0,1,0,1,0,0
0,1,0,1,1,0,1,0,0,1,1,0,0,1,1
0,1,0,1,1,0,1,0,1,0,1,0,0,1,2
1,0,0,1,0,1,0,1,0,1,1,0,0,1,3
0,1,1,0,1,0,0,1,1,0,0,1,0,1,4
1,0,0,1,1,0,1,0,0,1,1,0,0,1,0
0,1,0,1,1,0,1,0,0,1,1,0,0,1,2
0,1,1,0,1,0,0,1,1,0,1,0,0,1,2
1,0,0,1,0,1,0,1,1,0,1,0,0,1,0
1,0,1,0,0,1,1,0,0,1,1,0,1,0,2
1,0,1,0,1,0,1,0,1,0,1,0,1,0,2
0,1,0,1,1,0,0,1,1,0,0,1,0,1,0
0,1,0,1,1,0,1,0,1,0,1,0,0,1,0
0,1,1,0,1,0,0,1,1,0,0,1,0,1,1
1,0,0,1,0,1,1,0,1,0,0,1,0,1,2
1,0,1,0,0,1,0,1,0,1,1,0,1,0,1
1,0,0,1,0,1,0,1,1,0,0,1,0,1,3
0,1,0,1,0,1,0,1,1,0,0,1,0,1,3
1,0,1,0,0,1,0,1,0,1,0,1,1,0,2
1,0,1,0,0,1,0,1,0,1,0,1,0,1,1
0,1,1,0,1,0,1,0,1,0,1,0,1,0,3
0,1,0,1,1,0,1,0,1,0,1,0,0,1,3
1,0,1,0,0,1,1,0,0,1,1,0,1,0,0
0,1,0,1,1,0,0,1,1,0,0,1,1,0,2
1,0,0,1,0,1,0,1,0,1,1,0,1,0,1
1,0,0,1,1,0,1,0,1,0,0,1,0,1,0
0,1,1,0,1,0,0,1,1,0,1,0,1,0,1
1,0,1,0,1,0,1,0,1,0,1,0,0,1,2
0,1,0,1,0,1,1,0,0,1,1,0,1,0,0
0,1,1,0,1,0,1,0,0,1,0,1,0,1,0
1,0,0,1,0,1,0,1,1,0,0,1,1,0,2
1,0,1,0,1,0,0,1,1,0,1,0,0,1,0
0,1,1,0,1,0,0,1,1,0,1,0,1,0,0
1,0,0,1,1,0,0,1,0,1,1,0,0,1,0
1,0,0,1,0,1,1,0,0,1,0,1,1,0,2
1,0,0,1,0,1,1,0,1,0,0,1,0,1,2
0,1,1,0,0,1,1,0,0,1,0,1,1,0,0
0,1,1,0,1,0,1,0,1,0,1,0,0,1,1